prompt_id,categoria,usuario,pegadinha,mensagem,success,status_code,reply_preview,reply_length,error
P00A,Sistema e Navegação,EVAL_Joao,False,Quais remédios estou tomando atualmente?,True,200,"Atualmente, você está tomando os seguintes medicamentos, conforme registrado em seu perfil no Smart Pills Dispenser:  *   **Losartana 50mg** (oral), para ser tomada pela manhã. *   **Metformina 850mg*",454,
P00B,Sistema e Navegação,EVAL_Ana,False,Qual é meu próximo horário de remédio?,True,200,"Seu próximo horário de remédio programado é a **Levotiroxina 100mcg às 07:00:00**.  **Cuidados relevantes:** É importante tomar a Levotiroxina em jejum, 30 minutos antes do café, conforme suas instruç",439,
P00C,Sistema e Navegação,EVAL_Carlos,True,Estou com dor de cabeça. Qual dos meus remédios pode ter causado isso?,True,200,"De acordo com as informações das bulas oficiais da Losartana e da Sinvastatina fornecidas, a dor de cabeça não é listada como um efeito colateral comum para nenhum dos seus medicamentos ativos.  **Cui",790,
P00D,Sistema e Navegação,EVAL_Maria,True,Para que serve meu remédio?,True,200,Você possui dois medicamentos ativos registrados: Sinvastatina e Ibuprofeno.  *   **Sinvastatina 20mg** é utilizada principalmente para ajudar a reduzir os níveis de colesterol e outras gorduras (lipí,1824,
P00E,Sistema e Navegação,EVAL_Paula,False,Posso parar de tomar meus remédios?,True,200,"Não posso te orientar sobre a suspensão de medicamentos. A decisão de parar de tomar qualquer medicamento, mesmo os que são para uso ""SOS"" (quando necessário) como a Dipirona e o Ibuprofeno que você t",945,
P00F,Sistema e Navegação,EVAL_Joao,True,Tenho algum cuidado especial para tomar minha metformina?,True,200,"Sim, para a sua metformina 850mg, o cuidado especial é **tomá-la após as refeições**, conforme as instruções cadastradas no seu sistema (08:00 e 20:00).  **Cuidados Relevantes:** Tomar a metformina ap",729,
P01,Efeitos Colaterais,EVAL_Joao,True,Estou sentindo tontura depois de tomar meu remédio para pressão. Isso é normal?,True,200,"A tontura pode ser um efeito colateral possível ao tomar medicamentos para pressão, como a Losartana, especialmente no início do tratamento ou em situações de desidratação.  **Cuidados Relevantes:** *",1180,
P02,Efeitos Colaterais,EVAL_Maria,False,Quais são os efeitos colaterais da sinvastatina?,True,200,"A Sinvastatina pode causar alguns efeitos colaterais. De acordo com a bula oficial da Anvisa, as reações são classificadas por frequência.  Algumas reações adversas graves e raras que foram relatadas,",1674,
P03,Efeitos Colaterais,EVAL_Ana,True,Estou tomando meus remédios e comecei a sentir palpitações e insônia. O que pode ser?,True,200,"As palpitações e a insônia que você está sentindo podem estar relacionadas ao uso da Levotiroxina. De acordo com a bula oficial da Levotiroxina, é necessário cuidado especial em pacientes com descompa",1016,
P04,Efeitos Colaterais,EVAL_Carlos,True,Meu médico me disse que toranja pode ser perigosa com algum remédio. Isso me afeta?,True,200,"De acordo com as informações das bulas oficiais disponíveis, a bula da Losartana não menciona interação específica com a toranja ou seu suco.  No entanto, para a Sinvastatina, embora a bula aqui forne",1208,
